,Uniform,Gaussian,TinyImageNet (Crop),TinyImageNet (Resize),LSUN (Crop),LSUN (Resize),iSUN,SVHN,Cifar100,All
Min_relu_3,0.0,0.0,0.01756576,0.00395248190806238,0.40793271,0.0010508399999999874,0.0032681904761904692,0.9880866279963123,0.49954712,0.3262874488814048
Min_relu_4,0.0,0.0,0.023349920000000003,0.005062603200489244,0.47569485999999994,0.0012137799999999835,0.004182341736694678,0.9960251690227413,0.5216983000000001,0.3370479602678214
Min_relu_5,7.699999999999996e-06,0.0,0.03282963,0.008931688920599324,0.47186767,0.0019045199999999797,0.004779428571428568,0.9929395397971728,0.5365526799999999,0.3380577529869297
Min_relu_6,4.4299999999999986e-05,0.0,0.09933365,0.032972479869534194,0.6809727900000001,0.01812527,0.03523112605042017,0.9561055201290719,0.51592762,0.36175595281052036
Min_relu_7,0.00102084,6.199999999999983e-07,0.1806821,0.09999998980735908,0.6963030000000001,0.08799291999999999,0.10994690196078431,0.9307461355255071,0.49064427999999993,0.3839384933044664
Min_relu_8,0.00060496,1.4879999999999983e-05,0.56606275,0.5027188971562532,0.8364253500000001,0.54100464,0.547680268907563,0.92420073755378,0.48748258,0.5588721213214658
Min_relu_9,0.00019075999999999994,0.0,0.6201147499999999,0.5643558454795637,0.82850567,0.53988834,0.5468773333333333,0.9374568838352796,0.50216988,0.5735255552882688
Min_relu_10,0.22125747,0.04563822,0.49703941000000007,0.41326804607073697,0.8654651600000002,0.32450446,0.38703189915966385,0.9023372195759066,0.55452526,0.5343411564830407
Min_relu_11,0.37952511999999994,0.12227444999999998,0.4918640900000001,0.4056166241973295,0.8411469700000002,0.38501268,0.39982386554621846,0.9788801705593115,0.5464794000000001,0.5809555308315291
Min_relu_12,0.34593578,0.08071363,0.50186153,0.4264322597084905,0.8574926500000001,0.40137069000000003,0.4486134117647059,0.9556538491087891,0.55101732,0.578281733622003
Min_relu_13,0.68364602,0.35264967,0.74260478,0.722837600652329,0.9096529900000001,0.7086647100000001,0.7484011540616247,0.9811023547940996,0.56759214,0.7629845130703231
Min_relu_14,0.01754659,0.0016417799999999998,0.2349066,0.14756406074813982,0.69601911,0.12835928,0.1471333669467787,0.778170647664413,0.5284609,0.36530042398364204
Min_relu_15,0.5525875,0.208221,0.50723428,0.484470971358679,0.71155113,0.43253654999999996,0.46382371988795523,0.9292408343577137,0.55532214,0.6012016287787667
Min_relu_16,0.7447369500000001,0.65167686,0.79572698,0.8068495973906838,0.84734652,0.80084813,0.8084264649859944,0.9426371811616474,0.6243048,0.8138362711490659
Min_relu_17,0.5493870599999999,0.30764064,0.76318051,0.7892115380695138,0.7606596999999999,0.7757070699999999,0.7774067787114847,0.9195887523048555,0.60872382,0.7339970050517199
Min_relu_18,0.99382178,0.97555783,0.8342809400000001,0.8524003771277139,0.87715917,0.85433589,0.862881781512605,0.9339315842040566,0.59513956,0.8890975152353461
Min_relu_19,0.85525963,0.69174788,0.8174395400000001,0.8102090612577719,0.8885583,0.80207386,0.8149475518207283,0.9455688921327597,0.6622428600000001,0.8389405801459386
Min_relu_20,0.97819448,0.9672835900000001,0.80694811,0.8201925287942106,0.8641678299999999,0.8067002699999999,0.8232397871148459,0.9121463468039336,0.6336891600000001,0.8674194761847486
Min_relu_21,0.7241351600000001,0.70488037,0.70805573,0.6993346957496687,0.79852459,0.7380531300000001,0.7531811428571429,0.8622802435464044,0.61310954,0.7600857108491701
Min_relu_22,0.9957473800000001,0.9918822100000001,0.8785154500000001,0.8983344613189277,0.90722505,0.8984599200000001,0.9128111036414566,0.8812365012292562,0.6515973,0.9008603329724962
Min_relu_23,0.90387701,0.923157,0.8365012900000001,0.8356704821119152,0.8803927699999998,0.82730036,0.8380929411764705,0.9252336278426552,0.7371687,0.8736523955576938
Min_relu_24,0.8949699200000001,0.81863663,0.8658652600000001,0.8609708388543472,0.93151416,0.8808164599999999,0.8805980280112045,0.9703185579287033,0.75049908,0.8944368404698901
Min_relu_25,0.96705981,0.97688857,0.9155785900000001,0.9153016512078279,0.9457551000000001,0.9357428499999999,0.9401464649859944,0.9416136485863553,0.75579264,0.9328856005933766
Min_relu_26,0.84078199,0.78763882,0.8819774900000001,0.8820785852614413,0.8992928,0.8855546599999999,0.8885825882352941,0.9195855869698832,0.79524986,0.8765539200946195
Min_relu_27,0.8947314199999999,0.90810117,0.8385600599999998,0.8201014473550097,0.86300062,0.83583052,0.8432483585434173,0.8123188575599263,0.6886761,0.8375822889102718
Min_relu_28,0.9320630699999999,0.95004979,0.94932784,0.9352026908572011,0.9788018099999998,0.9444270499999999,0.9509860840336133,0.9823394399200984,0.8446403,0.9522590590169193
Min_relu_29,0.99789237,0.99933508,0.74537075,0.760240556518194,0.7059229,0.8016404599999999,0.7873093333333334,0.5413398701598033,0.6325254,0.7441449963916287
Min_relu_30,0.9988340199999999,0.99933434,0.9097958100000001,0.9106558862501275,0.92556762,0.92971708,0.9283318095238097,0.8782179932390903,0.85371294,0.9219652644134392
Min_relu_31,0.09307025,0.09446671000000001,0.08133857,0.06804409336459077,0.17267819,0.04506237,0.047174588235294114,0.12807777735095266,0.15708471999999998,0.10097745770186835
